key,match_done,dist,match_that_should_be_done
resourceType,resourceType,0.80963796,[]
doc_id,doc_id,0.8049111,['doc_id']
status,status,0.8049111,[]
contacts.name,contact.name,0.70563483,[]
parameterSet.type,parameter.type,0.6883635,[]
contacts.address.postalCode,address.postalCode,0.6569089,[]
links.url,link.url,0.6550359,[]
contacts.address.country,address.country,0.63785106,[]
identifier,identifier.use,0.6373691,['identifier.value']
parameters,parameter.max,0.60906,[]
parameters.1,parameter.name,0.60906,[]
parameters.2,parameter.min,0.60906,[]
parameters.3,parameter.use,0.60906,[]
contacts.address.city,address.city,0.6073198,[]
instrumentSet.manufacturer,manufacturer,0.55643547,[]
instrumentSet.serialNumber,serialNumber,0.55643547,[]
formats.version,version,0.54789734,[]
formats.name,format,0.54294866,[]
publications.description,property.description,0.5387241,[]
type,type.text,0.5191968,[]
links.description.en,description.text,0.51524115,[]
links.description.fr,description.text,0.51524115,[]
lastModification.value,qualification.identifier.value,0.50466335,[]
note,note.text,0.5044909,[]
contacts.comment.en,comment,0.49150074,[]
contacts.comment.fr,comment,0.49150074,[]
contacts.orcId,contained.id,0.48645872,[]
spatialExtents.spatialRepresentation,snapshot.element.representation,0.47665483,[]
contacts.organisation,content.creation,0.46170282,[]
publications.title,page.page.title,0.45196277,[]
contacts.webSiteUrl,content.url,0.44974136,[]
links.name,mapping.name,0.44824696,[]
documentRating,rest.documentation,0.44719386,[]
modifications,verificationStatus.text,0.44625378,[]
instrumentSet.resolution,rest.resource.documentation,0.44131452,[]
site,date,0.4406712,[]
keywords.concept,concept.code,0.44062537,['category.coding.code']
spatialExtents.area.longitude,position.longitude,0.43162143,['position.longitude']
publications.publicationYear,publisher,0.43116868,[]
instruments,instantiates,0.4310611,[]
spatialExtents.area.latitude,position.latitude,0.42260593,['position.latitude']
datasetSpecification.datasetCreationDate,expirationDate,0.42260593,[]
instrumentSet.label,element.example.label,0.42250526,[]
visibility,criticality,0.4109276,[]
genealogy,gender,0.40908307,[]
projectSet.thesaurusCode,property.code,0.4005767,[]
distributionInformation.useConstraints,constraint.extension.url,0.39707667,[]
language,xpathUsage,0.3874153,[]
metadataLevel,meta.lastUpdated,0.3838969,[]
platforms,performer.display,0.36503017,[]
projects,property.uri,0.3629468,[]
plateforms,performedDateTime,0.3586164,[]
