key,match_done,dist,match_that_should_be_done
referenceRange.high.value,referenceRange.observationRange.value.high.value,0.6808258,[]
referenceRange.low.value,referenceRange.observationRange.value.low.value,0.6766809,[]
content.id,td.content.content.content.ID,0.65806484,[]
referenceRange.high.unit,referenceRange.observationRange.value.high.unit,0.64654434,[]
referenceRange.low.unit,referenceRange.observationRange.value.low.unit,0.6415943,[]
participant.role.coding.code,act.participant.participantRole.code.code,0.624889,[]
participant.role.coding.system,act.participant.participantRole.code.codeSystem,0.61441624,[]
content.format.code,content.content.content.content.styleCode,0.60852003,[]
content.contentType,content.content.content.content.@value,0.598716,[]
component.code.coding.system,section.component.section.code.codeSystem,0.5931288,[]
component.code.coding.code,section.component.section.code.code,0.58346426,[]
encounter.reference,entry.encounter.text.reference.value,0.5790692,[]
participant.role.coding.display,act.participant.participantRole.code.displayName,0.57627785,[]
referenceRange.type.text,observation.referenceRange.observationRange.text.type,0.57190835,[]
relationship.coding.code,act.entryRelationship.act.code.code,0.55234826,"['ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.translation.code', 'ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.code']"
relationship.coding.system,act.entryRelationship.act.code.codeSystem,0.5517559,[]
component.code.coding.display,section.component.section.code.displayName,0.53936696,[]
component.code.text,component.section.text.content.ID,0.53579414,[]
entry.resource.organization.display,entry.organizer.code.translation.displayName,0.530776,['ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.representedOrganization.name.@value']
contact.telecom.value,act.participant.participantRole.telecom.value,0.5305903,[]
entry.resource.location.reference,entry.observation.value.reference.value,0.5297156,[]
entry.resource.subject.reference,entry.act.text.reference.value,0.5241946,[]
relationship.coding.display,act.entryRelationship.act.code.displayName,0.5234741,"['ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.displayName', 'ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.translation.displayName']"
interpretation.coding.system,section.entry.observation.interpretationCode.codeSystem,0.52157664,[]
interpretation.coding.code,section.entry.observation.interpretationCode.code,0.518281,"['ClinicalDocument.confidentialityCode.code', 'ClinicalDocument.recordTarget.patientRole.patient.name.use']"
clinicalStatus.coding.system,ClinicalDocument.code.codeSystem,0.51334804,[]
valueQuantity.value,section.entry.supply.quantity.value,0.51244485,[]
hospitalization.dischargeDisposition.coding.system,section.entry.encounter.dischargeDispositionCode.codeSystem,0.5108433,[]
hospitalization.dischargeDisposition.coding.code,section.entry.encounter.dischargeDispositionCode.code,0.5076471,[]
clinicalStatus.coding.code,ClinicalDocument.code.code,0.50742376,"['ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.value.displayName', 'ClinicalDocument.component.structuredBody.component.section.entry.procedure.entryRelationship.procedure.statusCode.code', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.statusCode.code', 'ClinicalDocument.component.structuredBody.component.section.entry.procedure.statusCode.code', 'ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.value.displayName']"
encounter.display,section.entry.encounter.code.displayName,0.5026866,[]
referenceRange.type.coding.code,organizer.component.observation.referenceRange.typeCode,0.49784288,[]
telecom.use,act.participant.participantRole.telecom.use,0.49414298,[]
item.item.linkId,tr.td.list.item.ID,0.49193373,[]
item.item.item.linkId,tr.td.list.item.ID,0.49193373,[]
entry.resource.connectionType.code,section.entry.act.code.code,0.48997477,[]
entry.resource.qualification.code.coding.system,entry.procedure.code.translation.codeSystem,0.4860404,[]
clinicalStatus.coding.display,ClinicalDocument.code.displayName,0.48577127,"['ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.entryRelationship.observation.value.displayName', 'ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.value.displayName']"
entry.resource.code.coding.system,section.entry.act.code.codeSystem,0.48552316,[]
patient.display,patientRole.patient.guardian.code.displayName,0.48313802,[]
entry.resource.qualification.code.coding.system.1,section.entry.observation.code.codeSystem,0.48303992,[]
entry.resource.qualification.code.coding.system.2,entry.observation.code.translation.codeSystem,0.48266634,[]
component.valueQuantity.value,section.component.section.title.@value,0.4821948,[]
rest.interaction.extension.url,section.entry.act.id.extension,0.47561064,[]
rest.documentation,ClinicalDocument.documentationOf.typeCode,0.47555062,[]
component.valueQuantity.unit,organizer.component.observation.value.unit,0.47366634,[]
identifier.value,act.code.qualifier.value.code,0.46786863,"['ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.performer.assignedEntity.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.encounter.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.id.extension', 'ClinicalDocument.recordTarget.patientRole.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.act.id.extension', 'ClinicalDocument.author.assignedAuthor.id.extension', 'ClinicalDocument.authenticator.assignedEntity.id.extension', 'ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.supply.participant.participantRole.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.act.performer.assignedEntity.id.extension', 'ClinicalDocument.componentOf.encompassingEncounter.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.encounter.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.id.root', 'ClinicalDocument.author.assignedAuthor.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.observation.id.root', 'ClinicalDocument.legalAuthenticator.assignedEntity.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.organizer.id.extension', 'ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.id.extension', 'ClinicalDocument.recordTarget.patientRole.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.id.extension', 'ClinicalDocument.id.root', 'ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.procedure.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.id.extension', 'ClinicalDocument.recordTarget.patientRole.providerOrganization.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.moodCode', 'ClinicalDocument.component.structuredBody.component.section.entry.procedure.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.act.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.id.extension', 'ClinicalDocument.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.id.root', 'ClinicalDocument.component.structuredBody.component.section.entry.observation.id.extension', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.representedOrganization.id.extension']"
interpretation.coding.display,organizer.component.observation.interpretationCode.displayName,0.46746266,[]
entry.resource.qualification.code.coding.code,section.entry.observation.code.code,0.4647761,[]
interpretation.coding.display.1,observation.entryRelationship.observation.interpretationCode.displayName,0.4647495,[]
hospitalization.dischargeDisposition.coding.display,section.entry.encounter.dischargeDispositionCode.displayName,0.4641152,[]
manufactureDate,product.manufacturedProduct.manufacturedMaterial.code.code,0.46343067,[]
entry.resource.qualification.code.coding.display,entry.observation.code.translation.displayName,0.46239525,[]
subject.display,subject.relatedSubject.code.translation.displayName,0.4603943,[]
entry.resource.qualification.code.coding.display.1,section.entry.observation.code.displayName,0.45969254,[]
address.postalCode,author.assignedAuthor.addr.postalCode.@value,0.4593533,"['ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.addr.postalCode.@value', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.addr.postalCode.@value', 'ClinicalDocument.recordTarget.patientRole.addr.postalCode.@value', 'ClinicalDocument.recordTarget.patientRole.patient.guardian.addr.postalCode.@value', 'ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.addr.postalCode.@value']"
item.item.text,text.list.item.list.listType,0.4589195,[]
item.item.item.text,text.list.item.list.listType,0.4589195,[]
effectiveDateTime,entry.act.effectiveTime.low.value,0.45879957,[]
