key,match_done,dist,match_that_should_be_done
LanguageCode.codeList,language,0.4827405,[]
MD_SpatialRepresentationTypeCode.codeList,spatialExtents.spatialRepresentation,0.46476328,[]
version.nilReason,formats.version,0.4116016,[]
keyword.nilReason,keywords.concept,0.39318848,[]
endPosition.@value,lastModification.value,0.38691297,[]
Date.@value,dataLevel,0.32735455,['datasetSpecificationdatasetSpecification.datasetPublicationDate']
Distance.uom,parameterSet.uom,0.32388234,[]
otherConstraints.nilReason,distributionInformation.useConstraints,0.31313753,[]
MD_CharacterSetCode.codeListValue,parameterSet.thesaurusCode,0.30596495,['formats.name']
TimePeriod.id,doc_id,0.2957438,[]
CI_DateTypeCode.codeList,type,0.29103208,[]
CI_DateTypeCode.codeListValue,contacts.nameType,0.28095302,[]
name.nilReason,links.name,0.2745904,[]
CI_RoleCode.codeList,contacts.roles,0.26943788,[]
