key,match_done,dist,match_that_should_be_done
site,source,0.9314772,[]
contacts.orcId,carrierHRF,2.841577,[]
plateforms,multipleAnd,1.4426891,[]
address.country,address,0.7301103,[]
identifiers.codeSpace,valueCode,1.1458436,['identifier.type.coding.system']
parameterSet.label,valueSet,1.2475575,[]
area.westLongitude,longitude,1.9674731,[]
quicklooks.description,kind,1.5732521,[]
interoperabilityInformation.filterDescription,contentReference,1.3085382,[]
temporalInterval.beginDate,occurrenceDateTime,1.4108065,[]
contacts.name,name,0.8094302,[]
publications.authors,publisher,0.9305453,[]
instrumentSet.thesaurusCode,fixedCode,1.7523957,[]
resourceType,resourceType,0.0,[]
platformSet.thesaurusCode,fixedCode,1.8393376,[]
datasetSpecification.datasetLanguage,valueSet,3.2459338,[]
distributionInformation.useConstraints,use,1.3880424,[]
parameterSet.cfStandardName,valueSet,2.216629,[]
address.street,address,0.9022385,[]
publications.publicationYear,date,1.3804418,[]
description.fr,description,1.5903814,[]
instrumentSet.label,valueSet,1.3360349,[]
modifications,requirements,0.49230826,[]
instrumentSet.name,valueSet,1.3018742,['deviceName.name']
readingInformation.en,multipleAnd,1.9942015,[]
projectSet.label,valueSet,1.3646464,[]
platforms,requirements,0.7419553,[]
lastModification.value,valueMarkdown,1.1424756,[]
platformSet.label,valueSet,1.4029489,[]
projectSet.thesaurusCode,valueSet,1.8570883,[]
comment.en,comment,1.8926923,[]
parameterSet.uom,carrierHRF,3.0092723,[]
dataLevel,data,0.9641782,[]
instrumentSet.serialNumber,valueSet,1.6199346,[]
area.eastLongitude,longitude,2.0207703,[]
temporalInterval.endDate,onsetDateTime,1.5375545,[]
technicalInformation.catalogueMode,mode,1.5591738,[]
instrumentSet.model,valueSet,1.2787975,[]
histories.date,date,0.72174346,['date']
quicklooks.url,fullUrl,1.4539027,[]
area.southLatitude,latitude,1.8614974,[]
projectSet.shortName,valueSet,1.8085109,[]
documentRating,contentReference,1.0814837,[]
identifiers.code,code,0.6527375,[]
histories.name,name,0.72174346,[]
processLevel,system,1.0858353,[]
publications.journalName,name,1.2500421,[]
temporalExtents.beginDate,effectiveDateTime,1.5365648,['period.start']
spatialExtents.description,contentReference,1.4813908,[]
contacts.temporalExtents,multipleAnd,1.4552715,[]
instruments,documentation,0.6284719,[]
distributionInformation.licenceVersion,contentReference,1.4654878,[]
area.longitude,longitude,1.0581932,['position.longitude']
readingInformation.fr,contentReference,1.7267979,[]
datasetSpecification.datasetVersions,valueSet,3.2686684,[]
instrumentSet.manufacturer,valueSet,1.1181371,[]
