key,match_done,dist,match_that_should_be_done
concept.code,ClinicalDocument.code.code,1.8194257,[]
snapshot.element.fixedUri,ClinicalDocument.versionNumber.value,2.0899608,[]
address.period.end,ClinicalDocument.participant.time.value,1.9908018,[]
entry.resource.name.suffix,ClinicalDocument.title.type,1.8598763,"['ClinicalDocument.component.structuredBody.component.section.entry.organizer.performer.assignedEntity.assignedPerson.name.suffix.@value', 'ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.suffix.@value']"
entry.resource.subject.reference,ClinicalDocument.title.@value,1.7013432,[]
rest.resource.interaction.extension.url,ClinicalDocument.author.time.value,2.1153138,[]
_implementationGuide.extension.url,ClinicalDocument.id.extension,2.0337875,[]
_implementationGuide.extension.valueCode,ClinicalDocument.authorization.typeCode,1.6627332,[]
meta.profile,ClinicalDocument.title.@value,1.9731364,[]
valueCodeableConcept.coding.code,ClinicalDocument.participant.functionCode.code,1.8003954,"['ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.value.code', 'ClinicalDocument.recordTarget.patientRole.patient.religiousAffiliationCode.code', 'ClinicalDocument.component.structuredBody.component.section.entry.observation.value.code', 'ClinicalDocument.component.structuredBody.component.section.entry.observation.value.translation.code']"
_comparator.extension.valueCode,ClinicalDocument.versionNumber.value,1.588687,[]
vaccineCode.coding.system,ClinicalDocument.code.code,1.4155829,[]
snapshot.element.slicing.description,ClinicalDocument.title.@value,1.8247949,[]
differential.element.min,ClinicalDocument.title.@value,2.2573428,[]
encounter.display,ClinicalDocument.title.@value,2.0207994,[]
item.item.linkId,ClinicalDocument.templateId.extension,2.3729904,[]
participant.member.display,ClinicalDocument.title.@value,1.99111,[]
multipleOr,ClinicalDocument.title.type,2.089871,[]
definition.page.page.page.nameUrl,ClinicalDocument.templateId.assigningAuthorityName,3.2733252,[]
concept.extension.valueCoding.code,ClinicalDocument.code.code,1.5918988,[]
property.code,ClinicalDocument.code.code,1.8760155,[]
category.coding.system,ClinicalDocument.title.type,1.7903452,[]
publisher,ClinicalDocument.title.@value,2.314437,[]
verificationStatus.coding.system,ClinicalDocument.authorization.typeCode,1.7560859,[]
definition.resource.extension.url,ClinicalDocument.id.extension,1.914978,[]
title,ClinicalDocument.title.@value,1.9409754,"['ClinicalDocument.title.@value', 'ClinicalDocument.component.structuredBody.component.section.entry.organizer.code.displayName']"
entry.resource.payloadMimeType,ClinicalDocument.participant.typeCode,2.0240765,[]
entry.resource.text.div,ClinicalDocument.title.@value,2.3162096,[]
extension.valueCodeableConcept.text,ClinicalDocument.participant.functionCode.code,1.9682213,[]
entry.resource.address.line,ClinicalDocument.title.@value,1.8416958,"['ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.addr.streetAddressLine.@value', 'ClinicalDocument.recordTarget.patientRole.providerOrganization.addr.streetAddressLine.@value', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.addr.streetAddressLine.@value', 'ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.representedOrganization.addr.streetAddressLine.@value', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.addr.streetAddressLine.@value', 'ClinicalDocument.legalAuthenticator.assignedEntity.addr.streetAddressLine.@value', 'ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.addr.streetAddressLine.@value', 'ClinicalDocument.recordTarget.patientRole.addr.streetAddressLine.@value', 'ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.performer.assignedEntity.addr.streetAddressLine.@value']"
item.answer.valueCoding.system,ClinicalDocument.versionNumber.value,1.7610666,[]
content.url,ClinicalDocument.title.@value,2.0334952,[]
contained.payloadMimeType,ClinicalDocument.title.type,1.9548105,[]
manufacturer,ClinicalDocument.title.@value,2.385296,['ClinicalDocument.author.assignedAuthor.assignedAuthoringDevice.manufacturerModelName.@value']
modelNumber,ClinicalDocument.title.@value,1.903214,[]
description.text,ClinicalDocument.title.@value,1.8510911,[]
