key,match_done,dist,match_that_should_be_done
spatialExtents.description,element.slicing.description,0.7168411879614257,[]
contacts.temporalExtents,contact.telecom.value,0.9747201167621232,[]
dataCenter,content.data,0.5653290601950437,[]
parameterSet.thesaurusCode,definition.parameter.code,0.5094997056566456,[]
distributionInformation.dataPolicyUrl,content.data,0.7586576165837882,[]
distributionInformation.embargoDuration,dispenseRequest.expectedSupplyDuration.value,0.8876357726042632,[]
site,location.location.reference,0.8915216649509674,[]
contacts.comment.DEFAULT_VALUE_KEY,contact.telecom.value,0.8146741684806057,[]
genealogy,name.family,1.0222040811759947,[]
lastModification.value,extension.valueDateTime,0.6871336438696929,[]
contacts.address.city,resource.address.city,0.3564027930588472,[]
spatialExtents.spatialRepresentation,snapshot.element.representation,0.8056344655177573,[]
formats.temporalInterval.comment.fr,differential.element.comment,0.9118473603423972,[]
editInformations.histories.name,page.page.nameUrl,0.7768577016300666,[]
projects,multipleAnd,1.003501038466728,[]
formats.name,name.use,0.536596389897113,[]
publications.journalSection,media.link.reference,0.9845960173970152,[]
plateforms,presentedForm.data,0.9172935370094488,[]
documentRating,parameter.documentation,0.9167532001118008,[]
keywords.concept,concept.code,0.5470087613903898,['category.coding.code']
contacts.name,contact.name,0.3365827198538274,[]
formats.version,version,0.5299450127714589,[]
parameterSet.comment.fr,parameter.binding.valueSet,0.6189995150716928,[]
instrumentSet.resolution,valueSet,0.7244689814782811,[]
spatialExtents.area.latitude,position.latitude,0.77297567552656,['position.latitude']
identifier,identifier.value,0.5008654669578683,['identifier.value']
datasetSpecification.datasetLanguage,presentedForm.data,0.6573945054624087,[]
clientTemplateName,parameter.name,0.6571239465010953,[]
contacts.email,contact.name,0.886752455865106,[]
contacts.webSiteUrl,page.page.nameUrl,0.7398658752538303,[]
parameterSet.cfStandardName,parameter.name,0.6713818272764732,[]
resourceType,resourceType,0.0,[]
sites,multipleAnd,1.0146137976774292,[]
instrumentSet.model,modelNumber,0.7070385509339197,[]
distributionInformation.dataPolicyVersion,content.data,0.7396668734979748,[]
instruments,experimental,1.0403245910269647,[]
publications.journalName,resource.name.family,0.7266726023574275,[]
quicklooks.description,definition.resource.description,0.7266591909906935,[]
contacts.ror,xpath,0.9184773974389216,[]
instrumentSet.label,element.example.label,0.6810032441157408,[]
aerisDataCenter,presentedForm.data,0.7340360796716027,['identifier.system']
technicalInformation.catalogueName,definition.resource.name,0.7405988982322997,[]
platformSet.thesaurusCode,resource.extension.valueCode,0.7794802348790862,[]
spatialExtents.name,mapping.name,0.6726105556192645,[]
spatialExtents.area.longitude,position.longitude,0.7951152854811907,['position.longitude']
instrumentSet.thesaurusCode,element.type.code,0.7702674961466391,[]
distributionInformation.useConstraints,resource.identifier.use,0.7707496600868156,[]
formats.description.fr,description.coding.code,0.7735533164062851,[]
spatialExtents.area.type,property.type,0.775774808129429,[]
platforms,system,1.022292667550276,[]
distributionInformation.embargoStartDate,extension.valueDateTime,0.8073561313270462,[]
resourceTitle.fr,resource.name.suffix,0.6842287790637622,[]
platformSet.label,element.example.label,0.7124580442747376,[]
editInformations.histories.date,entry.resource.birthDate,0.8102023945581458,['date']
note,note.text,0.5117822195525898,[]
contacts.organisations,contact.name,0.9476466775695273,[]
temporalExtents.comment.DEFAULT_VALUE_KEY,differential.element.comment,0.8302556830008709,[]
platformSet.name,deviceName.type,0.6624444762193441,[]
contacts.comment.en,differential.element.comment,0.8114941800567703,[]
metadataLevel,content.data,0.9361198335472872,[]
publications.title,title,0.5593831667031953,[]
identifiers.code,code.coding.code,0.5066441255715018,[]
parameterSet.type,parameter.type,0.3339896264230818,[]
distributionInformation.registrationNeeded,content.data,0.9514999988626694,[]
publications.description,description.text,0.5280263047717101,[]
contacts.roles,contact.name,0.891628686365961,[]
spatialExtents.area.altitude,location.location.display,1.0069666167893594,[]
contacts.lastName,contact.name,0.5867176936500083,[]
formats.temporalInterval.endDate,context.period.end,0.7985302028061954,[]
links.description.en,description.text,0.7499871122467806,[]
language,expression,0.9140153594712396,[]
collectionName,name.use,0.522858581244107,[]
visibility,valueQuantity.value,0.9459776837340038,[]
projectSet.shortName,name.period.start,0.7185017259671447,[]
distributionInformation.description.DEFAULT_VALUE_KEY,definition.parameter.value,0.7857037347594045,[]
quicklooks.url,entry.fullUrl,0.6900540314556416,[]
type,parameter.type,0.4714108453768147,[]
technicalInformation.catalogueMode,entry.search.mode,0.7948075469190751,[]
parameterSet.uom,parameter.binding.valueSet,0.71072628454627,[]
formats.description.en,description.coding.system,0.7816439838408312,[]
formats.readingInformation.fr,content.format.code,0.9682625015722472,[]
links.description.fr,description.text,0.7374795587462014,[]
parameterSet.shortName,parameter.name,0.5295078819908275,[]
contacts.address.postalCode,resource.address.postalCode,0.2673021615509509,[]
processLevel,system,0.9077206952502904,[]
distributionInformation.dataPolicyName,content.data,0.7502575799384547,[]
instrumentSet.manufacturer,manufacturer,0.7474661831026628,[]
instrumentSet.calibration,valueSet,0.723853859497184,[]
links.url,link.url,0.3473362348721119,[]
formats.readingInformation.en,content.format.display,0.9590115329423016,[]
distributionInformation.dataAccessRoles,content.data,0.7411287927324705,[]
resourceAbstract.en,resource.endpoint.reference,0.7691270142703978,[]
dataLevel,content.data,0.51207227077405,[]
datasetSpecification.datasetCreationDate,presentedForm.data,0.710637102568488,[]
links.type,type.text,0.4619608425840722,[]
spatialExtents.projection,element.mapping.map,0.990296855595352,[]
spatialExtents.area.eastLongitude,position.longitude,0.8577002382899297,[]
links.name,contained.name,0.5216879159181663,[]
distributionInformation.licenceVersion,version,0.8203572720283544,[]
distributionInformation.description.en,definition.resource.description,0.818169278661428,[]
editInformations.histories.editFields,content.data,0.9447990110846,[]
distributionInformation.dataPolicyReminder,content.data,0.7720847091433469,[]
resourceAbstract.fr,resource.text.div,0.7475269768719411,[]
distributionInformation.embargoRoles,role.coding.system,0.9477490172146994,[]
distributionInformation.licenceName,resource.operation.name,0.7381050056313173,['licence']
distributionInformation.licencePolicyUrl,_implementationGuide.extension.url,0.7994313886958903,[]
contacts.orcId,content.id,0.8274295382939312,[]
spatialExtents.orbit,differential.element.path,1.0161861497352689,[]
spatialExtents.comment,differential.element.comment,0.6643838619747343,[]
datasetSpecification.datasetPublicationDate,presentedForm.data,0.7103206400728059,[]
programName,deviceName.name,0.5038640661949562,[]
formats.temporalInterval.beginDate,effectiveDateTime,0.8419193776445123,[]
parameterSet.longName,parameter.name,0.544366878411949,[]
publications.doi,content.url,1.0265107440891794,[]
spatialExtents.area.southLatitude,position.latitude,0.8408969533702403,[]
resourceTitle.en,resource.name.suffix,0.678997629601442,[]
