key,match_done,dist,match_that_should_be_done
MD_Metadata.metadataStandardVersion.CharacterString.@value,metadataLevel,0.8222858321079687,[]
MD_DataIdentification.citation.CI_Citation.title.CharacterString.@value,description.DEFAULT_VALUE_KEY,0.9584169273315004,['instrumentSet.description:links.description:platformSet.description:resourceAbstract:spatialExtents.description']
MD_Metadata.dateStamp.DateTime.@value,histories.date,0.8059872817603938,['lastModification.value']
MD_Metadata.identificationInfo.MD_DataIdentification.spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeListValue,spatialExtents.spatialRepresentation,0.8816278864963876,['spatialExtents.area.type']
distributionInfo.MD_Distribution.distributionFormat.MD_Format.version.nilReason,distributionInformation.licenceVersion,0.7210243392700953,[]
MD_DataIdentification.resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,distributionInformation.accessConstraints,0.7962911696540121,[]
MD_DataIdentification.graphicOverview.MD_BrowseGraphic.fileName.CharacterString.@value,distributionInformation.dataPolicyName,0.9198087696617324,[]
CI_Citation.date.CI_Date.dateType.CI_DateTypeCode.codeList,histories.date,0.8003660651958804,[]
MD_DigitalTransferOptions.onLine.CI_OnlineResource.function.CI_OnLineFunctionCode.codeListValue,parameterSet.thesaurusCode,0.9255191111692628,[]
MD_DataIdentification.resourceConstraints.MD_LegalConstraints.useLimitation.CharacterString.@value,distributionInformation.useConstraints,0.8100798679047677,['distributionInformation.description.fr']
MD_Metadata.identificationInfo.MD_DataIdentification.language.LanguageCode.codeList,datasetSpecification.datasetLanguage,0.7903414997238426,[]
identificationInfo.MD_DataIdentification.resourceConstraints.MD_LegalConstraints.otherConstraints.nilReason,distributionInformation.useConstraints,0.8057400889189411,[]
DQ_DataQuality.scope.DQ_Scope.level.MD_ScopeCode.codeList,contacts.orcId,0.983148927883557,[]
CI_Citation.date.CI_Date.date.Date.@value,histories.date,0.6208870823785724,['datasetSpecificationdatasetSpecification.datasetPublicationDate']
CI_Citation.date.CI_Date.dateType.CI_DateTypeCode.codeListValue,histories.date,0.8208211751741079,[]
CI_Contact.address.CI_Address.electronicMailAddress.CharacterString.@value,address.postalCode,0.7770473581123726,['contacts.email']
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeListValue,parameterSet.thesaurusCode,0.8659566094447597,['metadataLevel']
MD_VectorSpatialRepresentation.geometricObjects.MD_GeometricObjects.geometricObjectType.MD_GeometricObjectTypeCode.codeListValue,spatialExtents.spatialRepresentation,0.945291846115295,['spatialExtents.area.type']
