key,match,dist
address.postalCode,address.postalCode,0.82052207
address.country,address.country,0.8190018
resourceType,resourceType,0.81721324
address.city,address.city,0.81721324
doc_id,doc_id,0.81248635
status,status,0.81248635
contacts.name,contact.name,0.7132101
parameterSet.type,parameter.type,0.69593877
links.url,link.url,0.6626112
identifier,identifier.use,0.64494437
description.en,description.text,0.6408434
description.fr,description.text,0.6408434
comment.en,comment,0.62260544
comment.fr,comment,0.62260544
parameters,parameter.max,0.61663526
parameters,parameter.name,0.61663526
parameters,parameter.min,0.61663526
parameters,parameter.use,0.61663526
address.street,address.state,0.60470986
type,type.code,0.5763722
instrumentSet.manufacturer,manufacturer,0.56401074
instrumentSet.serialNumber,serialNumber,0.56401074
publications.description,slicing.description,0.5605139
formats.version,version,0.5554726
area.longitude,position.longitude,0.5512604
formats.name,format,0.55052394
area.latitude,position.latitude,0.5364104
spatialExtents.spatialRepresentation,element.representation,0.52057433
note,note.text,0.5120662
contacts.orcId,contained.id,0.494034
publications.title,page.title,0.47468877
documentRating,operation.documentation,0.47287536
collectionName,connectionType.code,0.46996197
contacts.organisation,content.creation,0.4692781
contacts.webSiteUrl,content.url,0.4573166
histories.date,date,0.45657414
links.name,mapping.name,0.4558222
modifications,verificationStatus.text,0.45382905
lastModification.value,expectedSupplyDuration.value,0.45107457
lastModification.value,low.value,0.44927207
keywords.concept,concept.code,0.44820064
publications.publicationYear,publisher,0.43874392
instruments,instantiates,0.43863636
projectSet.label,example.label,0.43547383
datasetSpecification.datasetCreationDate,expirationDate,0.43018118
instrumentSet.calibration,interaction.documentation,0.42831892
visibility,criticality,0.41850287
genealogy,gender,0.41665834
projectSet.thesaurusCode,property.code,0.40815195
projectSet.shortName,element.short,0.40275002
clientTemplateName,element.sliceName,0.39906555
language,xpathUsage,0.39499056
readingInformation.fr,reaction.onset,0.39460272
metadataLevel,meta.lastUpdated,0.39147216
distributionInformation.accessConstraints,constraint.expression,0.38392457
distributionInformation.useConstraints,constraint.key,0.3800004
platforms,performer.display,0.3726054
projects,property.uri,0.37052208
plateforms,performedDateTime,0.36619166
