key,match,dist
documentation,ClinicalDocument.documentationOf.typeCode,0.4163792
effectiveDateTime,ClinicalDocument.effectiveTime.type,0.39804727
code,ClinicalDocument.code.code,0.36505944
system,ClinicalDocument.code.codeSystem,0.34754217
contentType,ClinicalDocument.title.type,0.32489833
value,ClinicalDocument.title.@value,0.32081214
representation,ClinicalDocument.author.assignedAuthor.representedOrganization.id.extension,0.30434805
postalCode,ClinicalDocument.author.assignedAuthor.addr.postalCode.@value,0.3006724
display,ClinicalDocument.code.displayName,0.2982908
contentReference,ClinicalDocument.component.nonXMLBody.text.reference.value,0.2940659
manufactureDate,ClinicalDocument.author.assignedAuthor.assignedAuthoringDevice.manufacturerModelName.@value,0.2771802
country,ClinicalDocument.author.assignedAuthor.addr.country.@value,0.25354022
address,ClinicalDocument.author.assignedAuthor.addr.streetAddressLine.@value,0.22231674
