key,match,dist
telecom.value,telecom.value,0.82819676
telecom.use,telecom.use,0.8268981
content.id,content.ID,0.82618785
name.use,name.use,0.8246254
valueQuantity.value,quantity.value,0.7305682
dischargeDisposition.coding.code,dischargeDispositionCode.code,0.7134757
code.coding.code,code.code,0.69584775
dischargeDisposition.coding.system,dischargeDispositionCode.codeSystem,0.6927646
interpretation.coding.code,interpretationCode.code,0.68962765
code.coding.system,code.codeSystem,0.6833672
referenceRange.type.text,referenceRange.typeCode,0.68187255
referenceRange.low.code,referenceRange.typeCode,0.67962533
valueQuantity.unit,quantity.unit,0.6765334
interpretation.coding.system,interpretationCode.codeSystem,0.6694764
context.type,text.type,0.6673177
address.use,addr.use,0.6458641
referenceRange.low.value,reference.value,0.6412336
dischargeDisposition.coding.display,dischargeDispositionCode.displayName,0.63436735
item.item.linkId,item.ID,0.6313714
interpretation.coding.display,interpretationCode.displayName,0.6174247
effectiveDateTime,effectiveTime.type,0.61382306
title,title.type,0.61033005
type.extension.url,typeId.extension,0.6013123
valueQuantity.code,value.code,0.59962535
snapshot.element.representation,text.representation,0.58430785
content.format.code,content.styleCode,0.5831697
period.start,period.unit,0.5805371
component.code.text,component.typeCode,0.5758526
relationship.coding.code,entryRelationship.typeCode,0.57309085
code.coding.display,code.displayName,0.5709172
identifier.value,center.value,0.56837535
code.text,code.type,0.5608772
manufactureDate,manufacturedMaterial.classCode,0.55949694
status,statusCode.code,0.5548923
lotNumber,lotNumberText.@value,0.5504348
valueQuantity.system,value.codeSystem,0.54962534
lotNumber,lotNumberText.nullFlavor,0.54522026
manufacturer,manufacturerModelName.@value,0.54497164
meta.tag.code,methodCode.code,0.54486346
role.coding.code,routeCode.code,0.54486346
extension.extension.url,id.extension,0.54340416
performer.reference,performer.typeCode,0.54075754
encounter.reference,encounter.moodCode,0.53778327
encounter.display,encounter.moodCode,0.53366935
deviceName.type,time.type,0.5334489
description.coding.system,translation.codeSystem,0.524857
location.location.display,translation.displayName,0.5166888
entry.search.mode,entry.typeCode,0.51538295
rest.documentation,documentationOf.typeCode,0.5131744
participant.member.reference,participant.typeCode,0.51266885
clinicalStatus.coding.system,maritalStatusCode.codeSystem,0.5085047
address.postalCode,postalCode.@value,0.5076098
version,versionNumber.value,0.50438726
manifestation.coding.code,translation.code,0.5008582
specialty.coding.code,specimen.typeCode,0.49495158
count,country.@value,0.49443603
clinicalStatus.coding.code,maritalStatusCode.code,0.49356478
birthDate,birthTime.type,0.49348938
authored,author.typeCode,0.49348938
rest.mode,act.moodCode,0.47654846
entry.fullUrl,entry.nullFlavor,0.47613016
operation.extension.valueCode,translation.value,0.4670496
clinicalStatus.coding.display,maritalStatusCode.displayName,0.46126357
resource.organization.display,representedOrganization.nullFlavor,0.45660642
link.url,linkHtml.href,0.42783052
packageId,paragraph.ID,0.42116383
gender,table.border,0.41395512
comparator,numerator.nullFlavor,0.40421847
qualification.identifier.use,given.qualifier,0.40296206
kind,act.negationInd,0.39672682
xpath,col.width,0.38315028
