key,match,dist
temporalElement.EX_TemporalExtent.extent.TimePeriod.id,temporalExtents,0.45629275
identifier.MD_Identifier.code.Anchor.href,identifier,0.42525294
date.CI_Date.date.Date.@value,date,0.41242337
date.CI_Date.date.Date.@value,value,0.4103125
identificationInfo.MD_DataIdentification.spatialRepresentationType.MD_SpatialRepresentationTypeCode.codeList,spatialRepresentation,0.40109965
resourceConstraints.MD_LegalConstraints.accessConstraints.MD_RestrictionCode.codeList,accessConstraints,0.3848261
resourceConstraints.MD_LegalConstraints.useConstraints.MD_RestrictionCode.codeList,useConstraints,0.35719123
MD_Metadata.metadataStandardName.CharacterString.@value,cfStandardName,0.350578
MD_Metadata.language.LanguageCode.codeListValue,datasetLanguage,0.34795487
MD_Metadata.language.LanguageCode.codeList,datasetLanguage,0.3475882
MD_Metadata.hierarchyLevel.MD_ScopeCode.codeList,metadataLevel,0.34717524
descriptiveKeywords.MD_Keywords.type.MD_KeywordTypeCode.codeList,description,0.3360803
MD_DataIdentification.descriptiveKeywords.MD_Keywords.keyword.nilReason,description,0.33549842
thesaurusName.CI_Citation.title.CharacterString.@value,thesaurusCode,0.3164693
MD_Distribution.distributionFormat.MD_Format.version.nilReason,version,0.31645548
onLine.CI_OnlineResource.linkage.URL.@value,resourceType,0.31349325
geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value,eastLongitude,0.29319414
geographicElement.EX_GeographicBoundingBox.westBoundLongitude.Decimal.@value,westLongitude,0.2916886
geographicElement.EX_GeographicBoundingBox.northBoundLatitude.Decimal.@value,northLatitude,0.2916886
geographicElement.EX_GeographicBoundingBox.southBoundLatitude.Decimal.@value,southLatitude,0.2916886
pointOfContact.CI_ResponsibleParty.organisationName.CharacterString.@value,organisations,0.28938618
MD_Metadata.metadataStandardVersion.CharacterString.@value,datasetVersions,0.28335243
address.CI_Address.country.CharacterString.@value,country,0.27425677
