key,match,dist
spatialExtents.description,mapping.identity,1.4079922
contacts.temporalExtents,multipleAnd,1.4552715
dataCenter,content.data,0.93348104
parameterSet.thesaurusCode,element.fixedCode,1.5466532
distributionInformation.dataPolicyUrl,extension.valueUrl,1.8646897
distributionInformation.embargoDuration,expectedSupplyDuration.system,1.4645013
site,organization.reference,0.89992696
contacts.comment.DEFAULT_VALUE_KEY,include.valueSet,2.0061855
genealogy,derivation,0.7542357
lastModification.value,extension.valueCanonical,1.1121383
contacts.address.city,address.city,0.8094302
spatialExtents.spatialRepresentation,extension.valueCanonical,2.017597
editInformations.histories.name,name.use,1.6618806
projects,experimental,0.6621129
formats.name,operation.name,0.904529
publications.journalSection,organization.reference,1.2378862
plateforms,element.requirements,1.3717873
documentRating,organization.reference,1.0668107
keywords.concept,concept.definition,0.8239342
contacts.name,contact.name,0.5498718
formats.version,format,0.8552267
parameterSet.comment.fr,valueSet,1.9674425
instrumentSet.resolution,valueSet,1.0660232
spatialExtents.area.latitude,position.latitude,2.0195475
identifier,who.reference,0.6121756
datasetSpecification.datasetLanguage,valueCodeableConcept.text,2.9200246
clientTemplateName,parameter.name,1.0944995
contacts.email,contact.name,1.3082592
contacts.webSiteUrl,page.nameUrl,2.0060778
parameterSet.cfStandardName,include.valueSet,2.095283
resourceType,resourceType,0.0
sites,who.reference,0.9581782
instrumentSet.model,valueSet,1.2787975
distributionInformation.dataPolicyVersion,presentedForm.data,1.5902678
instruments,experimental,0.6446012
publications.journalName,resource.name,1.1124729
quicklooks.description,result.reference,1.5492158
contacts.ror,constraint.xpath,2.3950672
instrumentSet.label,valueSet,1.3360349
aerisDataCenter,content.data,1.2871081
technicalInformation.catalogueName,resource.name,1.2088248
platformSet.thesaurusCode,element.fixedCode,1.6645093
spatialExtents.name,mapping.name,1.2936146
spatialExtents.area.longitude,position.longitude,2.0195475
instrumentSet.thesaurusCode,element.fixedCode,1.5456207
distributionInformation.useConstraints,address.use,1.1553669
formats.description.fr,description.text,1.7451847
spatialExtents.area.type,contained.resourceType,1.8532058
platforms,instantiates,0.7609235
distributionInformation.embargoStartDate,effectiveDateTime,1.6312367
resourceTitle.fr,page.title,1.6938524
platformSet.label,valueSet,1.4029489
editInformations.histories.date,occurrenceDateTime,1.6298923
note,comment,0.8350489
contacts.organisations,organization.reference,0.9579751
temporalExtents.comment.DEFAULT_VALUE_KEY,extension.valueDateTime,2.3198233
platformSet.name,valueSet,1.3753054
contacts.comment.en,meta.profile,2.0628152
metadataLevel,resource.description,1.110188
publications.title,title,0.53368545
identifiers.code,interaction.code,0.7050019
parameterSet.type,valueSet,1.2018095
distributionInformation.registrationNeeded,content.data,1.2809309
publications.description,who.reference,0.67006046
contacts.roles,multipleAnd,1.3540318
spatialExtents.area.altitude,valueQuantity.system,2.0305293
contacts.lastName,contact.name,1.0708207
formats.temporalInterval.endDate,extension.valueDateTime,1.6703436
links.description.en,link.reference,2.0024695
language,expression,0.61483115
collectionName,operation.name,0.6050963
visibility,criticality,0.695023
projectSet.shortName,include.valueSet,1.6114584
distributionInformation.description.DEFAULT_VALUE_KEY,expectedSupplyDuration.value,2.0701103
quicklooks.url,presentedForm.url,1.5568305
type,parameter.type,0.7066621
technicalInformation.catalogueMode,search.mode,1.3275493
parameterSet.uom,constraint.xpath,2.9615633
formats.description.en,format,2.0352325
formats.readingInformation.fr,interpretation.text,1.9117664
links.description.fr,link.reference,1.7515996
parameterSet.shortName,include.valueSet,1.5164803
contacts.address.postalCode,address.postalCode,0.8094302
processLevel,quantity.system,1.0437043
distributionInformation.dataPolicyName,presentedForm.data,1.8012463
instrumentSet.manufacturer,valueSet,1.1181371
instrumentSet.calibration,valueSet,1.1221137
links.url,link.url,0.7385032
formats.readingInformation.en,format.display,2.1660206
distributionInformation.dataAccessRoles,presentedForm.data,1.9793139
resourceAbstract.en,meta.profile,2.0214398
dataLevel,content.data,0.8981562
datasetSpecification.datasetCreationDate,valueCodeableConcept.text,3.490277
links.type,context.type,0.9177745
spatialExtents.projection,mapping.identity,1.4944699
spatialExtents.area.eastLongitude,extension.valueDateTime,2.6862376
links.name,contained.name,0.925783
distributionInformation.licenceVersion,content.data,1.451476
distributionInformation.description.en,meta.profile,2.002449
editInformations.histories.editFields,content.contentType,2.48137
distributionInformation.dataPolicyReminder,presentedForm.data,1.6245002
resourceAbstract.fr,resource.description,1.7269548
distributionInformation.embargoRoles,resource.referencePolicy,1.6746743
distributionInformation.licenceName,name.use,1.3076428
distributionInformation.licencePolicyUrl,extension.valueUrl,1.6388588
contacts.orcId,resource.id,2.954669
spatialExtents.orbit,extension.valueCanonical,1.7223706
spatialExtents.comment,element.comment,1.3903468
datasetSpecification.datasetPublicationDate,valueCodeableConcept.text,3.4716063
