key,match,dist
concept.code,ClinicalDocument.code.code,0.5082053035852048
snapshot.element.fixedUri,ClinicalDocument.component.structuredBody.component.typeCode,0.9843902464033412
address.period.end,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.period.value,0.9770664787523682
_implementationGuide.extension.url,ClinicalDocument.id.extension,0.7673352102249348
_implementationGuide.extension.valueCode,ClinicalDocument.documentationOf.serviceEvent.code.codeSystem,0.7928930153595125
meta.profile,ClinicalDocument.component.structuredBody.component.section.text.list.item.list.listType,1.0382819020595537
valueCodeableConcept.coding.code,ClinicalDocument.code.code,0.6581403053361389
_comparator.extension.valueCode,ClinicalDocument.participant.functionCode.code,0.7791570152105564
specialty.coding.code,ClinicalDocument.code.code,0.6208187213488249
resource.operation.definition,component.section.entry.act.entryRelationship.act.reference.externalDocument.text.reference.value,0.9737175947187031
_searchInclude.extension.valueCode,structuredBody.component.section.entry.act.entryRelationship.act.code.qualifier.value.code,0.8069140314824182
vaccineCode.coding.system,ClinicalDocument.code.codeSystem,0.5381717442422882
differential.element.min,ClinicalDocument.component.structuredBody.component.section.component.section.component.section.title.@value,1.0134219509438407
manifestation.coding.code,ClinicalDocument.code.code,0.628075776165196
resource.location.reference,ClinicalDocument.componentOf.encompassingEncounter.location.healthCareFacility.location.name.@value,0.832959799174621
encounter.display,ClinicalDocument.componentOf.encompassingEncounter.encounterParticipant.assignedEntity.code.displayName,0.8266823742773377
include.filter.value,ClinicalDocument.title.@value,0.8500556330448271
qualification.issuer.display,ClinicalDocument.code.displayName,0.8738058002979062
patternCodeableConcept.coding.code,ClinicalDocument.code.code,0.657625000773289
item.item.linkId,ClinicalDocument.id.extension,0.8016772309755361
participant.member.display,ClinicalDocument.participant.associatedEntity.code.displayName,0.7885823365352208
multipleOr,ClinicalDocument.participant.associatedEntity.associatedPerson.name.given.@value,1.044255243176204
property.code,ClinicalDocument.code.code,0.5424549119689887
include.filter.property,structuredBody.component.section.component.section.component.section.text.list.item.@value,1.0203318739865017
dataAbsentReason.coding.code,ClinicalDocument.dataEnterer.assignedEntity.code.code,0.7384422883149155
category.coding.system,ClinicalDocument.code.codeSystem,0.7497228133415524
verificationStatus.coding.system,ClinicalDocument.code.codeSystem,0.7507082148685229
publisher,ClinicalDocument.author.assignedAuthor.telecom.use,1.043976949282622
title,ClinicalDocument.title.type,0.824968805447182
entry.resource.payloadMimeType,structuredBody.component.section.entry.act.entryRelationship.act.entryRelationship.act.entryRelationship.typeCode,0.7666186343450968
extension.valueCodeableConcept.text,ClinicalDocument.documentationOf.serviceEvent.performer.functionCode.originalText.@value,0.7631568216851062
agent.onBehalfOf.reference,ClinicalDocument.documentationOf.typeCode,0.8829568229792181
manufacturer,component.section.entry.substanceAdministration.entryRelationship.supply.product.manufacturedProduct.manufacturerOrganization.name.@value,1.0218929990541792
content.url,section.text.table.tbody.tr.td.content.content.content.content.@value,0.7071394359610785
contained.payloadMimeType,ClinicalDocument.title.type,0.8502037988162269
modelNumber,ClinicalDocument.versionNumber.value,0.8137780814850185
description.text,ClinicalDocument.component.structuredBody.component.section.text.paragraph.content.@value,0.8995956256778402
participant.member.reference,entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.originalText.reference.value,0.8393297070889603
type.coding.system,ClinicalDocument.component.typeCode,0.7233789107230323
