key,match
entry.resource.identifier.system,ClinicalDocument.component.structuredBody.component.section.entry.encounter.id.root
entry.resource.organization.display,ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.representedOrganization.name.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.encounter.performer.assignedEntity.id.extension
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.displayName
entry.resource.clinicalStatus.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.value.displayName
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.observation.code.translation.code
entry.resource.dosage.doseAndRate.doseQuantity.unit,ClinicalDocument.versionNumber.value
entry.resource.code.coding.code,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.code.code
entry.resource.clinicalStatus.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.procedure.entryRelationship.procedure.statusCode.code
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.code
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.id.extension
entry.resource.name,ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.playingEntity.name.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.id.root
entry.resource.contact.address.city,ClinicalDocument.recordTarget.patientRole.patient.guardian.addr.city.@value
entry.resource.dosage.route.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.routeCode.code
entry.resource.extension.extension.valueCoding.display,ClinicalDocument.recordTarget.patientRole.patient.ethnicGroupCode.displayName
entry.resource.code.text,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.displayName
entry.resource.vaccineCode.text,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.displayName
entry.resource.relationship.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.displayName
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.code
entry.resource.reaction.manifestation.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.precondition.criterion.value.code
entry.resource.reasonReference.display,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.displayName
entry.resource.address.postalCode,ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.addr.postalCode.@value
entry.resource.code.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.value.code
entry.resource.title,ClinicalDocument.title.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.id.extension
entry.resource.code.coding.display,ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.displayName
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.encounter.id.extension
entry.resource.valueString,ClinicalDocument.component.structuredBody.component.section.entry.observation.value.@value
entry.resource.relationship.coding.code,ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.code.translation.code
entry.resource.address.line,ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.addr.streetAddressLine.@value
entry.resource.name.text,ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.assignedPerson.name.@value
entry.resource.identifier.value,ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.id.extension
entry.resource.dosage.doseAndRate.doseQuantity.unit,ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.doseQuantity.unit
entry.resource.code.coding.display,ClinicalDocument.recordTarget.patientRole.patient.administrativeGenderCode.displayName
entry.resource.interpretation.coding.code,ClinicalDocument.confidentialityCode.code
