,count,values
snapshot.element.condition,92,"['ait-1', 'ait-2', 'con-1', 'con-2', 'con-3', 'con-4', 'con-5', 'cpl-3', 'cpt-2', 'ctm-1', 'ele-1', 'gol-1', 'obs-3', 'obs-6', 'obs-7', 'org-1', 'org-2', 'org-3', 'pat-1', 'pd-1', 'prr-1', 'qty-3', 'ref-1', 'us-core-1', 'us-core-10', 'us-core-13', 'us-core-14', 'us-core-2', 'us-core-3', 'us-core-4', 'us-core-5', 'us-core-6', 'us-core-7', 'us-core-8', 'us-core-9', 'vs-1', 'vs-2', 'vs-3']"
result.reference,10,"['Observation/blood-glucose', 'Observation/bun', 'Observation/capillary-refill-time-nail-bed', 'Observation/dxa-femur-l-armass-bmd', 'Observation/dxa-femur-l-t-score-bmd', 'Observation/dxa-femur-l-z-score-bmd', 'Observation/dxa-hip-l-armass-bmd', 'Observation/dxa-hip-l-t-score-bmd', 'Observation/dxa-hip-l-z-score-bmd', 'Observation/ekg-impression', 'Observation/ekg-lead', 'Observation/erythrocytes', 'Observation/heart-rate-rhythm', 'Observation/hemoglobin', 'Observation/jugular-vein-distension', 'Observation/mchc', 'Observation/neutrophils', 'Observation/p-r-interval-ekg-lead', 'Observation/pulse-intensity-palpation', 'Observation/q-t-interval-ekg-lead', 'Observation/qrs-dur-ekg-lead', 'Observation/serum-calcium', 'Observation/serum-chloride', 'Observation/serum-co2', 'Observation/serum-creatinine', 'Observation/serum-potassium', 'Observation/serum-sodium', 'Observation/serum-total-bilirubin', 'Observation/xray-chest-findings', 'Observation/xray-chest-impression']"
dependsOn.version,2,"['0.7.0', '2.0.0', '3.0.0', '3.1.0']"
identifier.system,30,"['http://acme.org/prescriptions', 'http://example.org/fhir/sid/us-tin', 'http://example.org/fhir/us/argo/sid/us-ein', 'http://goodcare.org/observation/id', 'http://hl7.org/fhir/sid/us-npi', 'http://hospital.smarthealthit.org', 'http://www.acme.org/location', 'http://www.acme.org/practitioners', 'urn:ietf:rfc:3986', 'urn:oid:2.16.840.1.113883.4.7']"
rest.resource._supportedProfile.extension.url,4,['http://hl7.org/fhir/StructureDefinition/capabilitystatement-expectation']
referenceRange.low.unit,30,"['%', '10*6/uL', 'g/dL', 'mg/dL', 'mmol/L']"
snapshot.element.extension.valueString,46,"['ClassHistory', 'Contact', 'Diagnosis', 'StatusHistory', 'default: final']"
udiCarrier.carrierHRF,6,"['(01)09504000059118(17)141120(10)7654321D(21)10987654d321', '(01)987979879879(11)191015(17)220101(10)M320(21)AC221', '(01)99863313444316(17)220101(10)M320(21)AC221']"
referenceRange.type.coding.system,26,['http://terminology.hl7.org/CodeSystem/referencerange-meaning']
_patchFormat.extension.url,4,['http://hl7.org/fhir/StructureDefinition/capabilitystatement-expectation']
entry.resource.resourceType,6,"['AllergyIntolerance', 'Endpoint', 'Medication', 'MedicationRequest', 'Practitioner', 'PractitionerRole', 'Provenance']"
definition.page.page.page.generation,2,['markdown']
description.coding.code,2,['406156006']
item.item.item.answer.valueString,2,['Broadway']
extension.url,14,"['http://hl7.org/fhir/StructureDefinition/condition-assertedDate', 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-birthsex', 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-ethnicity', 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-genderIdentity', 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-race']"
entry.resource.address.line,2,['346 W Plum Avenue']
snapshot.element.isSummary,102,"[False, True]"
address.period.end,2,['2020-07-22']
code.coding.system,244,"['http://loinc.org', 'http://snomed.info/sct', 'http://www.ama-assn.org/go/cpt', 'http://www.cms.gov/Medicare/Coding/ICD10', 'http://www.nlm.nih.gov/research/umls/rxnorm', 'urn:iso:std:iso:11073:10101']"
item.item.linkId,2,"['/93039-6', '/93040-4', '/93041-2', '/93042-0', '/93043-8']"
snapshot.element.binding.extension.valueCanonical,90,"['http://hl7.org/fhir/ValueSet/all-languages', 'http://hl7.org/fhir/us/core/ValueSet/us-core-clinical-note-type', 'http://hl7.org/fhir/us/core/ValueSet/us-core-observation-smokingstatus-max']"
valueCodeableConcept.coding.code,98,"['428041000124106', 'ASKU', 'LA10137-0', 'LA11841-6', 'LA13863-8', 'LA13909-9', 'LA17849-3', 'LA17956-6', 'LA19952-3', 'LA28397-0', 'LA28853-2', 'LA30122-8', 'LA30126-9', 'LA30127-7', 'LA30130-1', 'LA30134-3', 'LA30187-1', 'LA30190-5', 'LA30191-3', 'LA31976-6', 'LA31980-8', 'LA31983-2', 'LA32-8', 'LA33-6', 'LA43-5', 'LA4457-3', 'LA6270-8', 'LA6568-5', 'LA6715-2', 'LA6718-6', 'LA6721-0', 'LA6724-4', 'LA6727-7', 'LA9634-2']"
rest.resource.operation.extension.valueCode,4,"['SHALL', 'SHOULD']"
entry.resource.qualification.code.coding.display,2,['Medical Doctor']
